Bảng 1
Drug ;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse;;;;;;;;;;
Exkivity (Mobocertinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Rilutek;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Riluzole;Suspension available;;;;;Data not available;;;;;;;;;;;;;
Exservan ( Riluzole);Suspension available;;;;;Data not available;;;;;;;;;;;;;
Ezallor Sprinkle ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fareston (Toremifene);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Farydak (Panobinostat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Feldene (Piroxicam);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Plendil;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Felodipine ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Fentanyl;Intravenous solution available;;;;;Data not available;;;;;;;;;;;;;
Fentora (Fentanyl);Intravenous solution available;;;;;Data not available;;;;;;;;;;;;;
Ferrous sulfate;Solution available;Not for FT. Use liquid;-;-;-;Not for FT. Use liquid;-;-;-;;;;;;;;;;
Fetzima (Levomilnacipran);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Fexinidazole;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fenofibric acid;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fibricor (Fenofibric Acid);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fleet laxative (Bisacodyl);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Tamsulosin;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Flomax ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Fluoxetine;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Fluoxetine;Solution available;Dissolves quickly;10;1;10;Data not available;10;1;10;;;;;;;;;;
Prozac;Solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Luvox CR;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Fluvoxamine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fluvoxamine ER;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Forfivo XL (Bupropion);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Fortamet ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Alendronate Sodium;No;Do not crush. Not for FT;;;;Do not crush. Not for FT;;;;;;;;;;;;;
Fosamax ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fosamax Plus D ( Alendronate and cholecalciferol);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fotivda (Tivozanib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Galafold (Migalastat);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Galzin (Zin Acetate);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Sandiummne;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Cyclosporine;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Cyclosporine;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Gengraf ;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Ziprasidone;No;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30;;;;;;;;;;
Geodon ;No;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30;;;;;;;;;;
Giotrif (Afatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Gleevec ;Yes;Contains co-precipitate poor dissolution, extra rinse;20;20;30;Not for Jejunal FT;-;-;-;;;;;;;;;;
Imatinib;Yes;Contains co-precipitate poor dissolution, extra rinse;20;20;30;Not for Jejunal FT;-;-;-;;;;;;;;;;
Gleostine (Lomustine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Glipizide XL;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Glucotrol XL ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Glipizide ;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Glucotrol ;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Metformin ER;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Glumetza ;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Gocovri  (Amantadine);Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Gralise ;Oral Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Guaifenesin and Pseudoephedrine;Oral Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Halfprin ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Harvoni Pellets;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Harvoni (ledipasvir and sofosbuvir);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hetlioz (Tasimelteon);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Holkira Pak (Ombitasvir, Paritaprevir, Ritonavir and Dasabuvir);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Horizant ;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Hycamtin (topotecan) ;Injectable available;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydroxyurea;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydrea (Hydroxyurea);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydromorph Contin (Hydromorphone ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Exalgo (Hydromorphone);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Hydromorphone ER ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Hydrocodone Bitartrate ER;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Hysingla ER (Hydrocodone);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ibrance (Palbociclib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ibsrela (Tenapanor);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Iclusig (Ponatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Idhifa (Enasidenib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Imbruvica (Ibrutinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Imbruvica (Ibrutinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Imdur ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Sumatriptan;Injectable available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Imitrex (Sumatriptan);Injectable available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Impavido (Miltefosine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Propranolol;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Inderal LA ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Indomethacin ER;Oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Inlyta ;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Axitinib;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10;;;;;;;;;;
Innopran XL ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Inqovi (Decitabine and Cedazuridine);NO;Data not available;;;;Data not available;;;;;;;;;;;;;
Intelence( Etravirine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Intermezzo ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Intuniv ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Guafanecine ER;Oral Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Invirase (Saquinavir);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Invokamet XR ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Invokana ;No;Slow to dissolve. Requires acid to dissolve. See Discussion 3.;10;5;20;Not for FT;-;-;-;;;;;;;;;;
Canagliflozin;No;Slow to dissolve. Requires acid to dissolve. See Discussion 3.;10;5;20;Not for FT;-;-;-;;;;;;;;;;
Iressa;No;Dissolves only in stomach acid;20;5;30;not for Jejunal Tubing;-;-;-;;;;;;;;;;
Gefitinib;No;Dissolves only in stomach acid;20;5;30;not for Jejunal Tubing;-;-;-;;;;;;;;;;
Isoptin SR (Verapamil);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Isosorbide Dinitrate ER ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Isosorbide Dinitrate ;No;Dissolves quickly ;10;1;10;Dissolves quicky;10;1;10;;;;;;;;;;
Isorosorbide Mononitrate ER ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Isotretinoin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Isradipine;No;Dissolve quickly, require extra rinse;10;1;20;Dissolve quickly, require extra rinse;10;1;20;;;;;;;;;;
Jalyn (Dutasteride and Tamsulosin);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Janumet XR (Sitagliptin and Metformin);No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Jaypirca (pirtobrutinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Jentadueto XR (Linagliptin and Metformin);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Jornay PM (Methylphenidate);Oral Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Juxtapid (Lomitapide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Kadian (Morphine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Kaletra ;Yes;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lopinavir and Ritonavir;Yes;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Kalydeco (Ivacaftor);Oral granule available;Data not available;;;;Data not available;;;;;;;;;;;;;
Kapsargo Sprinkle ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Kapvay ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Kazano (Alogliptin and Metformin);No;Data not available;-;-;-;Data not available;-;-;-;;;;;;;;;;
Ketoprofen ER;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Khedezla (Desvenlafaxine);no;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Kisqali (Ribociclib);no;Data not available;;;;Data not available;;;;;;;;;;;;;
Kisqali Femara Co-pack (Ribociclib and Letrozole);no;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Potassium Chloride ;Oral solution available;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Klor-Con (Potassium Chloride);Oral solution available;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Klor-Con M (Potassium Chloride) ;Oral solution available;Use oral solution;-;-;-;Use oral solution;-;-;-;;;;;;;;;;
Klor-Con Sprinkle ;Oral solution available;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
K-Lyte/cl (potassium bicarbonate and potassium chloride);No;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Kombiglyze XR (Saxagliptin and Metformin);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Korlym (Mifepristone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Koselugo (Selumetinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Krazati (Adagrasib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Krintafel (Tafenoquine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
K-Tab (Potassium Chloride);Oral solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lamotrigine ER;Oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lamictal XR ;Oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lurasidone;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Latuda (Lurasidone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lenvima (Lenvatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Fluvastatin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lescol;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lescol XL (Fluvastatin);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Letairis (Ambrisentan);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Leukeran (Chlorambucil);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Levbid (Hyoscyamine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Linaclotide;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Linzess ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lipidil EZ ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Lipitor;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lonsurf (Trifluridine and Tipiracil);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lorbrena (Lorlatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lovaza (Omega-3 Fatty Acids);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lumakras (Sotorasib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lupkynis (Voclosporin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Lybalvi (Olanzapine and Samidorphan);No;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Lynparza (Olaparib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Pregabalin;Oral solution available;Use liquid- Safe undiluted;-;-;-;Use liquid- Safe undiluted;-;-;-;;;;;;;;;;
Lyrica;Oral solution available;Use liquid- Safe undiluted;-;-;-;Use liquid- Safe undiluted;-;-;-;;;;;;;;;;
Lyrica CR ;Oral solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Lytgobi (Futibatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Matulane (Procarbazine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mavenclad (Cladribine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mavyret;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mavyret (Glecaprevir and Pibrentasvir);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mayzent (Siponimod);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mestinon ER ;Oral syrup available;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Pyridostigmine;Oral syrup available;Not For Tube Feeding;-;-;-;Not For Tube Feeding;-;-;-;;;;;;;;;;
Pyridostigmine;Oral syrup available;Dissolve quickly Do not use syrup;10;1;10;Dissolve quickly Do not use syrup;10;1;10;;;;;;;;;;
Metadate CD ;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Metadate ER ;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Methylin ER ;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Methylphenidate ER Tablet;Oral solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Micro-K (Potassium Chloride);Oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Minocin ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Minolira ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mirapex;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Morphabond (Morphine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Morphine Sulfate Extended Release;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Motrin ;Oral solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Amoxicillin;Oral suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Moxatag ;Oral suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Morphine Sulfate Extended Release;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ms Contin (Morphine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mucinex (Guaifenesin);Oral Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Mucinex DM (Guaifenesin);Oral Solution available;Data not available;;;;Data not available;;;;;;;;;;;;;
Multaq (Dronedadrone);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mycapssa (Octreotide);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mydayis (Dextroamphetamine and Amphetamine);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Myfortic ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Myorisan ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Mirabegron;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Myrbertriq ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Mytesi (Crofelemer);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Memantine;Oral Solution available;Quickly dissolve ;10;2;10;Quickly dissolve ;10;2;10;;;;;;;;;;
Namenda ;Oral Solution available;Quickly dissolve ;10;2;10;Quickly dissolve ;10;2;10;;;;;;;;;;
Memantine ER capsule;Oral solution available;Not For Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Namenda XR ;Oral solution available;Not For Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Namzaric (Memantine and Donepezil);No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Naprelan ;Oral solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Neoral ;Oral solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Nerlynx (Neratinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Alogliptin;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Nesina (Alogliptin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Neurotin ;Oral solution available;Use solution, dilute 3X water;-;-;-;Use solution, dilute 3X water;-;-;-;;;;;;;;;;
Gabapentin;Oral solution available;Use solution, dilute 3X water;-;-;-;Use solution, dilute 3X water;-;-;-;;;;;;;;;;
Esomeprazole;Oral suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Nexium (Esomeprazole);Oral suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Niacin;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Niaspan ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Nimotop (Nimodipine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ninlaro (Ixazomib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Nitroglycerin;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Nitrostat ;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Desmopressin;No;Poorly soluble, requires extra rinsing;20;1;20;Poorly soluble, requires extra rinsing;20;1;20;;;;;;;;;;
Nocdurna ;No;Poorly soluble, requires extra rinsing;20;1;20;Poorly soluble, requires extra rinsing;20;1;20;;;;;;;;;;
Norpace CR (Disopyramide);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Disopyramide phosphate;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Droxidopa;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Northera (Droxidopa);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ritonavir;Oral powder available;Do not Crush tablet. Use Oral suspension;-;-;-;Not For Jejunal FT;-;-;-;;;;;;;;;;
Norvir ;Oral powder available;Do not Crush tablet. Use Oral suspension;-;-;-;Not For Jejunal FT;-;-;-;;;;;;;;;;
Noxafil;Suspension available;Administer with enteral nutrition (rinse before and after);-;-;20;Not For Jejunal FT;-;-;-;;;;;;;;;;
Posaconazole;Suspension available;Administer with enteral nutrition (rinse before and after);-;-;20;Not For Jejunal FT;-;-;-;;;;;;;;;;
posaconazole;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Nubeqa (Darolutamide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Nucynta ER (Tapentadol);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Nurtec ODT(Timegepant);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ofev (Nintedanib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oleptro ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Omtryg (Omega-3-fatty Acids);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Onglyza (Saxagliptin);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Onureg (Azacitidine);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Opana ER (Oxymorphone);No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Opsumit (Macitentan);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Opsynvi (Macitentan and Tadalafil);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oracea (Doxycycline);Suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Orapred ODT ;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-;;;;;;;;;;
Oravig (Miconazole);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Orenitram (Treprostinil);Intravenous Solution available;;;;;Data not available;;;;;;;;;;;;;
Orgovyx (Relugolix);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Orkambi( Lumacaftor and Ivacaftor);Granule available;Data not available;;;;Data not available;;;;;;;;;;;;;
Orphenadrine Citrate ER;Injectable available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Ortikos ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Budesonide;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Oseni;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oserdu ( Elacestrant);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Osmolex ER (Amantadine );Amantadine syrup available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Amantadine ER;Amantadine syrup available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Otezla (Apremilast);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Apremilast ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oxaydo ;Oxycodone solution available;;;;;Data not available;;;;;;;;;;;;;
Oxbryta (Voxelotor);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Oxcarbazepine ER;Oxcarbazepine oral suspension available;;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;;;;;;;;;;
Oxtellar XR ;Oxcarbazepine oral suspension available;;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;;;;;;;;;;
Oxycodone ER;Oxycodone solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Oxycontin ;Oxycodone solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Oxy-IR;Oxycodone solution available;;;;;Data not available;;;;;;;;;;;;;
Oxymorphone ER;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Pancreaze ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Pemazyre (Pemigatinib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Pentasa ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Pertzye ;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Phenytek (Phenytoin);Phenytoin oral suspension available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-;;;;;;;;;;
Piqray(Alpelisib);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Plaquenil ;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Hydroxychloroquine;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Felodipine;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Plendil (Felodipine) ;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;;;;;;;;;;;
Pomalyst (Pomalidomide);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Ponvory (ponesimod);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Pradaxa ;No;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Dabigatran;No;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Pretomanid;No;Data not available;;;;Data not available;;;;;;;;;;;;;
Prevacid ;No;Beads clog with water, use acidic juice, or make suspesion with bicard;30;10;30;Beads clog with water, use acidic juice, or make suspesion with bicard;30;10;30;;;;;;;;;;
Lanzoprazole;No;Beads clog with water, use acidic juice, or make suspesion with bicard;30;10;30;Beads clog with water, use acidic juice, or make suspesion with bicard;30;10;30;;;;;;;;;;
Prevacid SoluTab ;No;Mix with water;10;5;20;Not For Jejunal Feeding Tube;;;;;;;;;;;;;
Prevpac (lansoprazole, Amoxicillin, and Clarithromycin);No;Not for Feeding tube;-;-;-;Not for Feeding tube;-;-;-;;;;;;;;;;
Prevymis (Letermovir);No;Data not available;;;;Data not available;;;;;;;;;;;;;
Prevymis Oral Pellets;No;Data not available;;;;Data not available;;;;;;;;;;;;;
