MediCrush1017.xlsx - Sheet1
Drug ;Dose Form;Comment;RPH1;Date ;Reference;Available in liquid form;Gastric Feeding Tube (Recommendation) ;Volume to Mix;Time (minutes);Volume to Rinse; Jejunal Feeding Tube (Recommendation);Volume to Mix;Time (minutes);Volume to Rinse
Aprepitant;Capsule;Swallow capsules whole.;Hn;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021549s030,207865s003lbl.pdf;Suspension availbable ;Use suspension, capsule difficult to administer;-;-;-;Use suspension, capsule difficult to administer;-;-;-
Enablex (Darifenacin);Tablet;should be swallowed whole and not chewed, divided or crushed;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/021513s017lbl.pdf;No;Data not available;;;;Data not available;;;
Entocort EC ;Delayed released capsule;"Swallow ENTOCORT EC delayed-release capsules whole. Do not chew or crush. For patients unable to swallow an intact capsule, ENTOCORT EC delayed-release capsules 
can be opened and administered as follows: Place one tablespoonful of applesauce into a clean container (e.g., empty bowl). The 
applesauce used should not be hot and should be soft enough to be swallowed without 
chewing.";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/021324s027lbl.pdf;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Envarsus XR ;Extended Released Tablet;"Advise patients to swallow ENVARSUS XR tablets whole with fluid (preferably water); patients must not chew, divide, crush or dissolve the tablets";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/206406s009lbl.pdf;Packet available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Tacrolimus;Extended Released Tablet;"Advise patients to swallow  tablets whole with fluid (preferably water); patients must not chew, divide, crush or dissolve the tablets";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/206406s009lbl.pdf;Packet available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Epclusa (Sofosbuvir and Velpatasvir);Tablet;Pharmacokinetic amorphous solid dispersion technology maybe affected;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208341s000lbl.pdf;Packet available;Data not available;;;;Data not available;;;
Carbamazepine ER;Extended Released Capsule;Swallow  capsules whole or open and sprinkle the beads over food, such as a teaspoon of applesauce. Do not crush or chew EQUETRO capsules or the beads inside the capsule. EQUETRO can be taken with or without meals.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2004/021710lbl.pdf;Suspension available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Equetro ;Extended released Capsule;Swallow EQUETRO capsules whole or open and sprinkle the beads over food, such as a teaspoon of applesauce. Do not crush or chew EQUETRO capsules or the beads inside the capsule. EQUETRO can be taken with or without meals.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2004/021710lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Ergomar (Ergotamine);Sublingual Tablet;;HN;8/5/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9582fdb-7ddd-4f69-aa7a-66247cdb8c92;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Erivedge (Vismodegib);Extended released Capsule;Swallow capsules whole. Do not open or crush capsules.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/203388s017lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Erleada (Apalutamide);Tablet;Swallow tablets whole;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210951s016lbl.pdf;No;Data not available;;;;Data not available;;;
Eryc (Erythromycin);Delayed released capsule;Enteric coated capsule;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/050536s026lbl.pdf;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Ery-Tab (Erythromycin);Delayed Released Tablet;Delayed release and enteric coated tablet;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/062298s068lbl.pdf;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Erythromycin Base ;Enteric Coated Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;;Suspension available;;;;;Data not available;;;
Erythromycin Delayed release;Delayed released capsule;Enteric-coated pellets;HN;8/5/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ddd9ad9a-fc60-409a-a2b3-be51482ef751;Suspension available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Erythromycin Ethylsuccinate ;Tablet;Taste;HN;8/5/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6d8c343b-30d9-4cdb-8f55-2a20983a71c1;Suspension available;;;;;Data not available;;;
Erythromycin Stearate;Enteric Coated Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;;Suspension available;;;;;Data not available;;;
Etoposide;Capsule;Hazardous substance ;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/75-635_Etoposide.pdf;Intravenous solution available;;;;;Data not available;;;
Evekeo ODT (amphetamine);Disintergrating Tablet;Sublingal form;HN;8/5/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f469fb38-0380-4621-9db3-a4f429126156;Suspension available;;;;;Data not available;;;
Evista;Tablet;Taste, Teratogenic potential, hazardous substance;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020815s034lbl.pdf;Suspension available;Dissolve quickly;10;3;20;Dissolve quickly;10;3;20
Raloxifene;Tablet;Taste, Teratogenic potential, hazardous substance;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020815s034lbl.pdf;Suspension available;Dissolve quickly;10;3;20;Dissolve quickly;10;3;20
Exalgo (Hydromorphone);Extended Released Tablet;ER : breaking,chewing, crushingm or dissolving before ingestion or injecting increases the risk of over dose;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Exelon (Rivastigmine);Capsule;Canadian manufacture recommendation;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2000/20823lbl.pdf;No;Data not available;;;;Data not available;;;
Exjade (Deferasirox);Tablet;"EXJADE should be taken once daily on an empty stomach at least 30 minutes before food, preferably 
at the same time each day. Tablets should not be chewed or swallowed whole. EXJADE should not 
be taken with aluminum-containing antacid products. Doses (mg/kg) should be calculated to the 
nearest whole tablet. Tablets should be completely dispersed by stirring in water, orange juice, or apple 
juice until a fine suspension is obtained. Doses of < 1 g should be dispersed in 3.5 ounces of liquid 
and doses of > 1 g in 7.0 ounces of liquid. After swallowing the suspension, any residue should be 
resuspended in a small volume of liquid and swallowed";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2005/021882lbl.pdf;Packet available;Data not available;;;;Data not available;;;
Exkivity (Mobocertinib);Capsule;Swallow EXKIVITY capsules whole. Do not open, chew, or dissolve the contents of the capsules;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215310s003lbl.pdf;No;Data not available;;;;Data not available;;;
Rilutek;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020599s019lbl.pdf;Suspension available;;;;;Data not available;;;
Riluzole;Tablet ;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020599s019lbl.pdf;Suspension available;;;;;Data not available;;;
Exservan ( Riluzole);Film, Sublingual film;film, sublingual form;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212640s001lbl.pdf;Suspension available;;;;;Data not available;;;
Ezallor Sprinkle ;Capsule;Swallow the capsules whole. Do not crush or chew;HN;5-Aug;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208647s015lbl.pdf;No;Data not available;;;;Data not available;;;
Fareston (Toremifene);Tablet;Hazardouse substance;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020497s018lbl.pdf;No;Data not available;;;;Data not available;;;
Farydak (Panobinostat);Capsule;FARYDAK capsules should be swallowed whole with a cup of water. Do not open, crush, or chew the capsules;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/205353s000lbl.pdf;No;Data not available;;;;Data not available;;;
Feldene (Piroxicam);Capsule;Mucous membrane irritant;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/018147s053lbl.pdf;No;Data not available;;;;Data not available;;;
Plendil;Extended Released Tablet;PLENDIL should be swallowed whole and not crushed or chewed.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/019834s025lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Felodipine ;Extended Released Tablet;"Felodipine  should be swallowed 
whole and not crushed or chewed. ";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/019834s025lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Fentanyl;Lozenge;Slow release, lillipop delivery system requres the patient to slowly dissolve in mouth;;;;Intravenous solution available;;;;;Data not available;;;
Fentora (Fentanyl);Bucca Tablet;"Place entire tablet in buccal cavity or under the tongue; tablet is not to be 
split, crushed, sucked, chewed, or swallowed whole";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021947s043lbl.pdf;Intravenous solution available;;;;;Data not available;;;
Ferrous sulfate;Delayed Released Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";;;;Solution available;Not for FT. Use liquid;-;-;-;Not for FT. Use liquid;-;-;-
Fetzima (Levomilnacipran);Extended released Capsule;"Swallow FETZIMA whole; do not open, chew, or crush the capsule";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/204168s012lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Fexinidazole;Tablet;Do not break or crush tablets;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/214429s003s004lbl.pdf;No;Data not available;;;;Data not available;;;
Fenofibric acid;Tablet;Advise patients to swallow FIBRICOR tablets whole. Do not crush, break, dissolve, or chew tablets;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022418s020lbl.pdf;No;Data not available;;;;Data not available;;;
Fibricor (Fenofibric Acid);Tablet;Advise patients to swallow FIBRICOR tablets whole. Do not crush, break, dissolve, or chew tablets;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022418s020lbl.pdf;No;Data not available;;;;Data not available;;;
Fleet laxative (Bisacodyl);Enteric Coated Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";;;;No;Data not available;;;;Data not available;;;
Tamsulosin;Capsule;Tamsulosin capsules should not be crushed, chewed or opened.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020579s033lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Flomax ;Capsule;FLOMAX capsules should not be crushed, chewed or opened.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020579s033lbl.pdf;No;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Fluoxetine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2006/018936s76,20101s35,20974s8,21235s7,21520s12,21427s11lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Fluoxetine;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018936%20s112lbl.pdf;Solution available;Dissolves quickly;10;1;10;Data not available;10;1;10
Prozac;Capsule;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/018936%20s112lbl.pdf;Solution available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Luvox CR;Extended Released Capsule;Capsules should not be crushed or chewed.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/022033lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Fluvoxamine;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021519s026lbl.pdf;No;Data not available;;;;Data not available;;;
Fluvoxamine ER;Extended Released Capsule;Capsules should not be crushed or chewed.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2008/022033lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Forfivo XL (Bupropion);Extended released Capsule;Swallow the tablet whole. Do not chew, divide, or crush;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022497s000lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Fortamet ;Extended released Capsule;Swallow FORTAMET tablets whole and never crush, cut or chew;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021574s017lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Alendronate Sodium;Tablet;Mucous membrane irritant. Do not crush;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021575s017lbl.pdf;No;Do not crush. Not for FT;;;;Do not crush. Not for FT;;;
Fosamax ;Tablet;Mucous membrane irritant;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/021575s017lbl.pdf;No;Data not available;;;;Data not available;;;
Fosamax Plus D ( Alendronate and cholecalciferol);Tablet;Mucous membrane irritant;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212904s000lbl.pdf;No;Data not available;;;;Data not available;;;
Fotivda (Tivozanib);Capsule;Swallow the FOTIVDA capsule whole with a glass of water. Do not open the capsule.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212904s000lbl.pdf;No;Data not available;;;;Data not available;;;
Galafold (Migalastat);Capsule;Swallow capsule whole. Do not cut, crush, or chew the capsule.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208623s009lbl.pdf;No;Data not available;;;;Data not available;;;
Galzin (Zin Acetate);Capsule;Manufacture recommendation, Possible gastric irritation;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020458s009lbl.pdf;No;Data not available;;;;Data not available;;;
Sandiummne;Capsule;Teratogenic potential, Hazardous Substance ;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050573s044,050574s057,050625s061lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Cyclosporine;Capsule;Teratogenic potential, Hazardous Substance ;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050573s044,050574s057,050625s061lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Cyclosporine;Capsule;Teratogenic potential, Hazardous Substance ;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050573s044,050574s057,050625s061lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Gengraf ;Capsule;Teratogenic potential, Hazardous Substance ;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/050573s044,050574s057,050625s061lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Ziprasidone;Capsule;Swallow capsules whole, do not open, crush, or chew the capsules.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/020825s065,020919s053lbl.pdf;No;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30
Geodon ;Capsule;Swallow capsules whole, do not open, crush, or chew the capsules.;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/020825s065,020919s053lbl.pdf;No;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30;Does not dissolve well. Rise with 30ml water to prevent clog;10;1;30
Giotrif (Afatinib);Tablet;Canadian manufacture recommendation, hazrdous substance;HN;8/5/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387;No;Data not available;;;;Data not available;;;
Gleevec ;Tablet;Gleevec can be  dissolved in water or apple juice for patients having difficulty swallowing;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021588s062lbl.pdf;Yes;Contains co-precipitate poor dissolution, extra rinse;20;20;30;Not for Jejunal FT;-;-;-
Imatinib;Tablet;Gleevec can be  dissolved in water or apple juice for patients having difficulty swallowing;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021588s062lbl.pdf;Yes;Contains co-precipitate poor dissolution, extra rinse;20;20;30;Not for Jejunal FT;-;-;-
Gleostine (Lomustine);Tablet;"Manufacture recommendation, Hazardous substance. Do not break Gleostine capsules; avoid exposure to broken capsules";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/017588s043lbl.pdf;No;Data not available;;;;Data not available;;;
Glipizide XL;Extended Released Tablet;Swallow the Glipizide XL whole. Do not break, crush, dissolve, chew, or cut the tablet in half;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020329s032lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Glucotrol XL ;Extended Released Tabllet;Swallow the GLUCOTROL XL whole. Do not break, crush, dissolve, chew, or cut the tablet in half;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020329s032lbl.pdf;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Glipizide ;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/017783s026lbl.pdf;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Glucotrol ;Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/017783s026lbl.pdf;No;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Metformin ER;Extended Released Tablet;Swallow GLUMETZA tablets whole and never crush, cut or chew. ;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021748s025lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Glumetza ;Extended Released Tablet;Swallow GLUMETZA tablets whole and never crush, cut or chew. ;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021748s025lbl.pdf;Solution available;Not for Feeding Tube;-;-;-;Not for Feeding Tube;-;-;-
Gocovri  (Amantadine);Extended released Capsule;"GOCOVRI should be swallowed whole. Do not crush, chew or divide capsules. If needed, 
GOCOVRI may be administered by carefully opening and sprinkling the entire contents on a 
small amount (teaspoonful) of soft food, such as applesauce";HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208944s009lbl.pdf;Solution available;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Gralise ;Extended Released tablet;GRALISE tablets should be swallowed whole. Do not split, crush, or chew the tablets;HN;8/5/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022544s031lbl.pdf;Oral Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Guaifenesin and Pseudoephedrine;Extended Released Tablet;Do not crush, chew or break tablets before swallowing;Hn;8/5/2025;https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=775000bc-56de-4c72-87da-65bb33f063b3;Oral Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Halfprin ;Enteric Coated Tablet;"""Manufacturer does not provide data on whether the tablet can be crushed, split, or otherwise altered. Additionally, the manufacturer does not indicate that the medication should not be crushed or altered. Please consult alternative resources or a pharmacist for further guidance.""";;;;No;Data not available;;;;Data not available;;;
Harvoni Pellets;Pellet;Do not chew HARVONI pellets. If HARVONI pellets are administered with food, sprinkle the pellets on one or more spoonfuls of non-acidic soft food at or below room temperature. Do not chew pellets.;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205834s036,212477s006lbl.pdf;No;Data not available;;;;Data not available;;;
Harvoni (ledipasvir and sofosbuvir);Tablet;Pharmacokinetic and amorphous solid dispersion technology maybe affected;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205834s036,212477s006lbl.pdf;No;Data not available;;;;Data not available;;;
Hetlioz (Tasimelteon);Capsule;To swallow the capsule whole. ;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/205677s006lbl.pdf;No;Data not available;;;;Data not available;;;
Holkira Pak (Ombitasvir, Paritaprevir, Ritonavir and Dasabuvir);Tablet;Canadian manufacture recommendation;;8/6/2025;;No;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Horizant ;Extended Released Tablet;Tablets should be swallowed whole and should not be cut, crushed, or chewed;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/022399s014lbl.pdf;Solution available;Not For Feeding Tube;-;-;-;Not For Feeding Tube;-;-;-
Hycamtin (topotecan) ;Capsule;Swallow capsules whole. Do not chew, crush, or divide the capsules.;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020981s008lbl.pdf;Injectable available;Data not available;;;;Data not available;;;
Hydroxyurea;Capsule;Swallow Hydroxyurea capsules whole. Do NOT open, break, or chew capsules because Hydroxyurea is a cytotoxic drug.;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/016295s058lbl.pdf;No;Data not available;;;;Data not available;;;
Hydrea (Hydroxyurea);Capsule;"Swallow DROXIA capsules whole. Do NOT open, break, or chew capsules because DROXIA is 
a cytotoxic drug.";HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/016295s058lbl.pdf;No;Data not available;;;;Data not available;;;
Hydromorph Contin (Hydromorphone ;Extended released Capsule;must be swallowed whole and not ;;8/6/2025;;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Exalgo (Hydromorphone);Extended Released Tablet;chewed, cut, or crushed;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Hydromorphone ER ;Extended Released Tablet;Instruct patients to swallow tablets intact, and not to cut, break, chew, crush, or dissolve the tablets (risk of potentially fatal overdose).;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021217s025lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Hydrocodone Bitartrate ER;Extended Released Tablet;ER , tablet disruption may cause a potentially fatal overdose;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206627s015lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Hysingla ER (Hydrocodone);Extended Releaesd Tablet;ER , tablet disruption may cause a potentially fatal overdose;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/206627s015lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Ibrance (Palbociclib);Tablet;IBRANCE capsules should be swallowed whole (do not chew, crush, or open them prior to swallowing);HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/207103s021,212436s009lbl.pdf;No;Data not available;;;;Data not available;;;
Ibsrela (Tenapanor);Tablet;Canadian Manufac ture recommendation;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/211801s014lbl.pdf;No;Data not available;;;;Data not available;;;
Iclusig (Ponatinib);Tablet;Manufacture recommendation. Swallow tablets whole. Do not crush, break, cut or chew tablets.;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/203469s037lbl.pdf;No;Data not available;;;;Data not available;;;
Idhifa (Enasidenib);Tablet;Advise patients not to chew, split, or crush the tablets but swallow whole with a cup of water;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/209606s007lbl.pdf;No;Data not available;;;;Data not available;;;
Imbruvica (Ibrutinib);Tablet;Do not open, break, or chew the capsules. Do not cut, crush, or chew the tablets;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205552s043,210563s019,217003s004lbl.pdf;No;Data not available;;;;Data not available;;;
Imbruvica (Ibrutinib);Capsule;Do not open, break, or chew the capsules. Do not cut, crush, or chew the tablets;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/205552s043,210563s019,217003s004lbl.pdf;No;Data not available;;;;Data not available;;;
Imdur ;Extended Released Tablet;Tablet should not be chewed or crushed and should be swallow whole;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/075155Orig1s034lbl.pdf;No;Not For Feeding Tube;;;;Not For Feeding Tube;;;
Sumatriptan;Tablet;Take Sumatriptan tablets whole with water or other liquids;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020132s030lbl.pdf;Injectable available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Imitrex (Sumatriptan);Tablet;Take IMITREX tablets whole with water or other liquids;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020132s030lbl.pdf;Injectable available;Dissolves quickly;10;1;10;Dissolves quickly;10;1;10
Impavido (Miltefosine);Capsule; swallow the capsule whole and not to chew it or break it apart;HN;8/6/2025;https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/204684s007s008lbl.pdf;No;Data not available;;;;Data not available;;;
